"peakId","pvalue","correlation","adjCorrelation"
"mm10:chr2:37841995-37842496",0.00496968807540385,0.0479719017119199,0.0420586837101306
"mm10:chr3:121814714-121815215",0.0116565023865989,0.0388650010433679,0.0328952184411529
"mm10:chr2:132846401-132846902",5.23102416967407e-07,0.145173761284324,0.139864281540749
"mm10:chr5:105467193-105467694",2.53067904706902e-05,0.104644280202711,0.0990830645517957
"mm10:chr6:125089683-125090184",0.00442387754635805,0.0492205356428391,0.0433150731313039
"mm10:chr12:72832013-72832514",5.23237442381406e-13,0.277241231455394,0.272752046557602
"mm10:chr5:143817530-143818031",0.713473485213919,0.000839719303854179,-0.00536624517251931
"mm10:chrX:11800616-11801117",7.34786909119277e-06,0.117707709622555,0.112227633284807
"mm10:chr11:120151085-120151586",0.0907349156925175,0.0176691961145975,0.0115677625500918
"mm10:chr15:103240668-103241169",7.95095140598162e-08,0.164347186340063,0.159156796193107
"mm10:chr5:23843930-23844431",0.000408898953111058,0.0748728727470489,0.0691267415218752
"mm10:chr14:60250791-60251292",0.0177955792912126,0.03438606212965,0.0283884600310765
"mm10:chr7:110164701-110165202",0.00697343581961446,0.044343027637853,0.0384072700455415
"mm10:chr5:125062980-125063481",0.24588962806104,0.0083543024201383,0.00219501237305827
"mm10:chr2:160578638-160579139",0.894721661590853,0.000109101118472885,-0.0061014013590521
"mm10:chr4:12139983-12140484",0.885274832216893,0.000129700468391446,-0.00608067406286068
"mm10:chr2:135156072-135156573",7.83645492131654e-05,0.0926044322542762,0.0869684349390853
"mm10:chr13:107407292-107407793",0.354005772691783,0.00533798079014291,-0.000840044173893602
"mm10:chr11:72266545-72267046",0.0943951335689497,0.0172804163583398,0.0111765680127394
"mm10:chr2:93976446-93976947",0.0335022666506524,0.027768364292417,0.0217296584805687
"mm10:chr9:113708078-113708579",0.79943349625938,0.000402140279106267,-0.00580654207940868
"mm10:chr11:59209038-59209539",0.163762429713775,0.0120090534349443,0.00587246370472661
"mm10:chr1:133046378-133046879",0.165020647861363,0.011938076620971,0.00580104604097711
"mm10:chr6:107529380-107529881",4.52203432770365e-05,0.0984720576127195,0.0928725051755314
